split,clean_file,noisy_file,noise_file,target_snr_db,actual_snr_db
train,data\train\clean\clean_0003_clean.wav,data\train\noisy\clean_0003_snr_-5dB.wav,low_frequency_noise.wav,-5,-5.0000002068986635
train,data\train\clean\clean_0003_clean.wav,data\train\noisy\clean_0003_snr_0dB.wav,low_frequency_noise.wav,0,-2.855443010544762e-07
train,data\train\clean\clean_0003_clean.wav,data\train\noisy\clean_0003_snr_5dB.wav,low_frequency_noise.wav,5,5.000000207631398
train,data\train\clean\clean_0003_clean.wav,data\train\noisy\clean_0003_snr_10dB.wav,white_noise.wav,10,9.999999686109602
train,data\train\clean\clean_0002_clean.wav,data\train\noisy\clean_0002_snr_-5dB.wav,low_frequency_noise.wav,-5,-5.000000005919892
train,data\train\clean\clean_0002_clean.wav,data\train\noisy\clean_0002_snr_0dB.wav,white_noise.wav,0,-3.1101080458211083e-07
train,data\train\clean\clean_0002_clean.wav,data\train\noisy\clean_0002_snr_5dB.wav,white_noise.wav,5,4.999999721982771
train,data\train\clean\clean_0002_clean.wav,data\train\noisy\clean_0002_snr_10dB.wav,white_noise.wav,10,9.999999954084805
train,data\train\clean\clean_original_clean.wav,data\train\noisy\clean_original_snr_-5dB.wav,low_frequency_noise.wav,-5,-4.999999896669255
train,data\train\clean\clean_original_clean.wav,data\train\noisy\clean_original_snr_0dB.wav,white_noise.wav,0,-2.7467257410033966e-07
train,data\train\clean\clean_original_clean.wav,data\train\noisy\clean_original_snr_5dB.wav,mixed_noise.wav,5,4.999999995884299
train,data\train\clean\clean_original_clean.wav,data\train\noisy\clean_original_snr_10dB.wav,low_frequency_noise.wav,10,9.999999840714471
test,data\test\clean\clean_0001_clean.wav,data\test\noisy\clean_0001_snr_-5dB.wav,low_frequency_noise.wav,-5,-4.999999642718068
test,data\test\clean\clean_0001_clean.wav,data\test\noisy\clean_0001_snr_0dB.wav,low_frequency_noise.wav,0,-2.3770696869722817e-07
test,data\test\clean\clean_0001_clean.wav,data\test\noisy\clean_0001_snr_5dB.wav,low_frequency_noise.wav,5,4.999999811654223
test,data\test\clean\clean_0001_clean.wav,data\test\noisy\clean_0001_snr_10dB.wav,low_frequency_noise.wav,10,10.000000071571922
